CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Gaines,13524,6849,6675,6384,6365,232,143,97,78,36,38,5,0,82,64,3888,3952,2922,2730
Galveston,254869,123119,131750,100859,105903,14923,17625,1112,1067,4239,5146,125,151,1820,1899,93723,102250,29343,29528
Garza,5056,3403,1653,3071,1472,225,114,31,19,26,26,4,2,43,23,1400,1011,1994,652
Gillespie,21448,10362,11086,9936,10759,99,67,134,122,52,66,12,11,101,89,8207,9036,2098,2057
Glasscock,1061,581,480,562,463,11,11,5,0,1,1,0,1,3,3,344,325,245,160
Goliad,6030,2954,3076,2691,2883,155,130,39,33,22,18,1,1,38,19,1982,2066,950,1014
Gonzales,14891,7483,7408,6558,6642,620,523,163,114,53,54,9,9,67,79,4010,4125,3420,3289
Gray,15845,8666,7179,7481,6682,869,223,124,120,49,60,1,1,102,133,6205,5498,2414,1686
Grayson,102440,49322,53118,43777,47256,2919,3133,916,992,764,794,31,42,870,946,43246,47441,6021,5699
Gregg,89545,42611,46934,32458,35067,8359,10035,479,423,617,730,60,39,593,685,35241,40523,7308,6426
Grimes,22375,12431,9944,9842,8334,2180,1325,145,119,62,56,21,9,139,143,9626,7911,2737,2042
Guadalupe,124325,60716,63609,51775,54359,5882,5521,587,645,1038,1666,147,174,1239,1292,38474,40769,22153,22860
Hale,23386,12340,11046,10848,10163,982,482,199,218,97,79,23,22,165,108,5502,4769,6786,6287
Hall,2251,1101,1150,942,1024,114,98,15,21,5,4,1,1,8,18,718,825,372,328
Hamilton,6535,3249,3286,3035,3130,40,33,76,66,32,36,3,1,40,43,2801,2948,419,356
Hansford,3569,1755,1814,1653,1729,29,17,39,47,4,6,1,1,18,25,923,1076,827,744
Hardeman,3057,1521,1536,1360,1410,102,79,14,16,6,10,0,0,28,32,1209,1194,304,349
Hardin,42862,20757,22105,19095,20320,1087,1241,159,129,156,226,8,7,213,221,19414,21075,1282,1049
Harris,3380061,1659313,1720748,1174883,1163779,308385,370497,19061,16886,130905,142605,1845,1901,24035,25279,968448,1055190,690904,666061
Harrison,48530,23348,25182,17833,18688,4730,5670,291,303,163,197,30,23,285,317,20745,22729,2570,2464
Hartley,4380,2769,1611,2330,1546,347,27,24,26,23,20,0,1,21,15,1924,1317,821,301
Haskell,4627,2459,2168,2211,2012,139,84,34,20,28,19,0,0,41,39,1755,1650,696,523
Hays,174307,85884,88423,77145,80053,4488,3899,1148,1008,1469,1793,175,108,1397,1624,53780,55852,32007,32598
Hemphill,2559,1260,1299,1198,1233,11,11,19,16,17,20,0,3,16,15,873,945,383,367
Henderson,63927,30749,33178,27731,30188,1880,2021,364,270,191,247,36,30,516,453,27098,29682,3595,3518
Hidalgo,567967,273732,294235,264579,285914,2903,1909,1646,1620,3194,3581,157,135,1203,1126,26597,25499,247085,268777
Hill,27799,13709,14090,12386,12764,842,888,146,161,90,108,19,18,183,194,11006,11790,2650,2307
Hockley,16294,8056,8238,7417,7739,346,281,133,105,60,36,8,4,82,83,4393,4627,3626,3617
Hood,48840,23455,25385,22420,24380,282,233,267,240,156,267,19,32,281,263,20804,22880,2606,2509
Hopkins,27734,13444,14290,11956,12801,994,1058,162,146,116,100,17,19,174,191,11248,12418,2135,1894
Houston,18044,9831,8213,6910,6140,2633,1871,103,68,53,97,1,0,95,73,8558,7645,1212,578
Howard,28230,16534,11696,14128,10727,1548,493,304,198,245,149,17,9,245,167,9503,7142,6966,4559
Hudspeth,3955,2186,1769,1908,1625,132,43,45,41,29,33,5,4,60,30,557,415,1606,1358
Hunt,73781,35928,37853,31458,33038,2723,3022,449,528,553,616,90,81,628,595,30186,32689,5691,5197
Hutchinson,15033,7670,7363,7021,6817,233,192,169,175,65,73,3,4,155,126,5892,5941,1744,1431
Irion,1185,600,585,578,554,6,8,11,4,3,3,0,0,9,9,455,446,174,145
Jack,6902,3953,2949,3540,2831,298,31,46,34,24,25,3,4,36,30,3300,2568,644,383
Jackson,10723,5414,5309,4841,4776,343,378,60,60,58,53,3,2,82,67,3648,3904,1703,1414
Jasper,26315,12926,13389,10645,10966,1926,2111,110,119,96,95,5,11,118,113,12044,12768,838,636
Jeff,2182,1111,1071,1026,992,17,11,19,24,5,32,1,0,34,21,738,732,355,346
Jefferson,183351,93730,89621,57375,52510,30260,31488,1095,815,3757,3670,102,67,1100,1112,73183,74361,20513,15304
Jim,31867,15638,16229,14906,15710,243,123,216,159,72,184,12,9,120,113,3156,3317,12377,12929
Johnson,129661,64083,65578,58360,60341,3089,2714,687,643,676,785,281,250,916,919,50250,53302,13719,12323
Jones,16344,10645,5699,7993,5299,2247,217,156,93,95,42,1,0,128,73,7462,4514,3141,1195
Karnes,11869,7225,4644,5832,4445,1203,84,82,56,34,35,4,2,57,35,3552,2046,3653,2602
Kaufman,100431,48820,51611,39671,41502,6991,8047,522,498,737,932,52,40,722,717,38061,41382,10546,10280
Kendall,36789,17908,18881,16829,17921,327,230,163,132,224,326,32,17,289,299,13740,14806,4091,4088
Kenedy,304,157,147,145,138,9,3,1,3,2,1,0,0,1,1,49,34,116,115
Kent,616,305,311,281,295,4,11,3,4,0,0,1,0,13,4,244,268,59,45
Kerr,41650,19863,21787,18581,20650,459,306,276,264,234,271,37,18,239,315,14974,16859,4827,4937
Kimble,3477,1688,1789,1607,1736,26,6,33,16,13,17,1,2,12,8,1306,1407,390,397
King,216,101,115,96,108,0,0,2,1,0,0,1,0,2,6,81,94,20,20
Kinney,2882,1606,1276,1490,1189,42,26,36,26,8,10,3,2,24,26,540,582,1063,701
Kleberg,21816,11023,10793,9771,9898,540,360,165,120,388,233,13,22,121,185,3457,2941,7503,7863
Knox,2668,1301,1367,1143,1250,84,85,26,11,5,7,0,1,35,21,872,978,426,401
La,5910,3570,2340,3403,2241,82,59,41,15,11,18,0,2,24,14,416,374,3128,1983
Lamar,37192,17499,19693,14542,16049,2125,2704,305,391,138,177,7,15,340,399,16158,18513,1294,1195
Lamb,8944,4468,4476,4071,4089,196,206,75,104,29,33,3,7,66,65,2148,2254,2272,2229
Lampasas,16731,8187,8544,7295,7740,432,294,76,114,101,175,67,45,168,224,6616,7194,1480,1358
Lavaca,15213,7406,7807,6769,7131,433,485,58,54,33,73,9,9,77,82,6097,6630,1258,1180
Lee,13281,6602,6679,5633,5805,720,672,79,88,44,45,18,12,73,92,5180,5312,1366,1377
Leon,13356,6545,6811,5825,6109,502,514,61,70,35,61,2,2,87,88,5643,6121,848,705
Liberty,63573,31035,32538,26959,27938,3015,3528,389,463,190,222,54,37,379,399,22792,24847,8206,7754
Limestone,17874,9197,8677,7278,6880,1568,1518,139,90,69,100,10,7,99,116,7295,7200,1862,1482
Lipscomb,2316,1216,1100,1095,1017,45,9,24,41,6,8,2,3,30,36,808,824,388,281
Live,9620,5370,4250,4629,4105,517,35,94,54,53,27,8,7,59,32,3309,2646,2038,1608
Llano,18493,8826,9667,8472,9315,107,92,84,94,49,70,5,4,88,113,8027,8851,759,834
Loving,164,102,62,105,52,1,3,0,1,1,1,0,0,0,0,93,49,17,7
Lubbock,225308,109928,115380,95634,101013,8128,8408,1397,1347,2943,2875,162,159,1622,1620,73194,77236,36668,38165
Lynn,4301,2206,2095,2015,1971,69,54,56,40,14,9,0,0,36,37,1172,1237,987,874
Madison,10889,6544,4345,4702,3513,1600,689,75,54,58,33,2,7,94,62,4867,3547,1647,807
Marion,7925,3878,4047,2987,3026,705,871,53,61,31,40,1,2,86,62,3709,3900,155,158
Martin,3854,1926,1928,1785,1808,54,49,43,39,10,11,2,2,34,17,1085,1089,833,845
Mason,3398,1705,1693,1647,1636,20,12,21,13,3,6,7,2,8,23,1274,1351,426,347
Matagorda,26485,13214,13271,11119,11074,1407,1606,188,167,293,262,22,12,171,164,7914,8319,5270,4961
Maverick,39049,19537,19512,18696,18890,207,118,299,314,195,131,7,11,96,85,1048,909,18419,18609
McCulloch,6096,3008,3088,2781,2918,112,71,39,32,28,21,1,1,45,47,2054,2202,959,886
McLennan,185936,89248,96688,73462,77798,11799,14534,1066,1085,1555,1782,136,130,1192,1397,67210,75038,21966,21666
McMullen,594,317,277,296,262,9,8,2,0,0,4,0,0,10,3,188,178,135,104
Medina,39030,20230,18800,18426,17847,1037,348,203,194,156,245,58,40,292,184,10179,9378,9959,9426
Menard,1751,866,885,822,850,27,6,9,21,2,2,0,0,9,3,550,591,317,298
Midland,125689,64217,61472,56316,54391,4410,4151,907,706,1634,1490,76,70,823,715,36082,35331,28076,26195
Milam,18489,8965,9524,7786,8289,802,871,137,143,77,155,10,4,104,111,6803,7502,2094,2023
Mills,3810,1863,1947,1785,1889,23,12,17,22,7,10,1,0,21,23,1550,1631,312,323
Mitchell,6616,4165,2451,3148,2256,777,95,103,39,36,29,5,5,71,52,2430,1600,1698,854
Montague,15234,7441,7793,7081,7512,84,48,109,103,27,40,4,3,118,105,6708,7117,696,680
Montgomery,448805,219302,229503,194221,201548,12782,13874,2150,2045,6964,8661,292,251,2809,3208,169395,180353,49792,49217
Moore,13709,7208,6501,6003,5771,531,162,156,136,374,387,25,12,80,72,3295,3073,3855,3436
Morris,9402,4469,4933,3323,3632,930,1119,78,68,25,49,5,14,75,84,3975,4539,440,399
Motley,940,488,452,449,430,20,6,9,16,1,0,2,0,4,3,400,373,91,86
Nacogdoches,46518,22238,24280,17881,18942,3444,4498,210,234,271,388,16,13,345,276,18213,20671,3916,3617
Navarro,36102,17462,18640,14430,15120,2159,2605,211,227,139,202,220,286,248,255,13037,14389,4348,4264
Newton,10593,5457,5136,4174,4018,1080,971,52,73,58,15,2,0,64,86,5189,4980,223,165
Nolan,10446,5181,5265,4693,4845,258,257,75,86,41,48,5,5,78,55,3276,3342,1866,1932
Nueces,265124,129272,135852,117625,124166,5651,5326,1283,1239,2825,3431,208,196,1630,1544,49865,50835,79361,85052
Ochiltree,6550,3291,3259,3093,3111,52,37,59,54,24,27,3,3,43,44,1569,1711,1688,1560
Oldham,1644,844,800,774,736,23,16,15,11,8,19,0,1,25,16,681,675,160,130
Orange,61059,29824,31235,26408,27535,2367,2689,301,237,308,424,34,36,364,356,27322,29055,2458,2196
Palo,22207,10800,11407,10054,10748,288,246,113,154,143,128,10,20,150,153,8824,9601,1896,1817
Panola,17309,8501,8808,6987,7106,1221,1456,64,71,37,98,4,14,144,107,7730,8245,714,571
Parker,108143,53197,54946,50382,52424,1009,847,572,512,319,475,45,55,795,708,46682,49058,6422,5909
Parmer,6631,3407,3224,3138,3051,71,57,84,52,26,45,21,6,57,23,1275,1339,2108,1898
Pecos,11710,6920,4790,6103,4527,560,67,91,71,78,84,4,5,62,58,2720,1388,4166,3413
Polk,41554,22721,18833,19102,16542,2741,1406,419,412,145,236,32,19,247,253,18927,16793,3737,2047
Potter,82076,42358,39718,33411,32958,5373,3524,616,601,2299,2059,57,53,552,573,27308,25815,14964,13920
Presidio,4738,2395,2343,2161,2229,40,30,66,50,58,37,0,0,37,30,460,446,1886,1900
Rains,10128,5035,5093,4667,4789,160,136,70,64,23,59,3,5,89,63,4586,4727,404,373
Randall,102557,49737,52820,45500,49144,1993,1403,552,509,791,985,46,48,813,773,38804,42041,10880,10811
Reagan,2742,1479,1263,1328,1164,66,41,36,18,10,7,0,0,34,38,445,436,1021,837
Real,2842,1371,1471,1275,1401,26,17,23,28,7,5,6,6,28,20,1006,1144,364,334
Red,9467,4551,4916,3608,3920,707,838,106,86,20,27,0,2,88,65,4223,4692,270,228
Reeves,12414,7965,4449,6997,4096,681,154,78,76,124,95,14,8,43,48,2526,1015,5381,3438
Refugio,5313,2666,2647,2322,2426,198,137,48,58,30,25,0,0,46,23,1399,1398,1227,1254
Roberts,621,309,312,298,301,0,1,1,4,0,2,0,0,9,5,267,289,46,25
Robertson,12667,6155,6512,4797,4909,1115,1387,67,86,68,49,4,4,82,99,4939,5334,1186,1190
Rockwall,77799,37896,39903,32621,34588,3090,2896,375,314,1190,1505,37,59,511,613,31040,33353,6755,6572
Runnels,7726,3872,3854,3525,3587,125,86,94,85,75,54,2,1,38,54,2583,2661,1260,1204
Rusk,41272,22527,18745,17422,15062,4417,3087,235,195,155,151,18,16,246,268,18763,16344,3731,2410
Sabine,8546,4179,4367,3746,3975,299,266,43,54,18,30,3,2,53,57,3978,4205,173,182
San,81366,40869,40497,36955,36876,2444,2219,486,440,319,492,47,53,528,507,25317,25448,15413,15089
Schleicher,2053,1028,1025,967,957,19,26,10,14,5,4,0,0,22,29,485,514,538,515
Scurry,12150,6717,5433,5800,5092,620,162,119,83,67,49,3,2,80,73,4124,3579,2543,1862
Shackelford,2474,1196,1278,1139,1219,22,18,19,16,3,10,0,0,14,14,1053,1135,148,160
Shelby,18135,8908,9227,7115,7200,1421,1762,88,91,138,117,5,6,97,95,7318,8041,1542,1190
Sherman,2138,1124,1014,1054,969,36,9,15,15,11,7,0,0,9,13,660,657,461,361
Smith,171605,80952,90653,64495,70580,13451,16604,718,741,1220,1514,66,135,973,1108,66568,76454,14346,14228
Somervell,7115,3556,3559,3299,3364,38,20,68,90,27,55,3,1,64,86,2883,3002,607,569
Starr,41813,20197,21616,19877,21385,72,52,100,93,54,70,2,3,65,40,836,883,19308,20739
Stephens,7068,3727,3341,3396,3183,171,56,59,39,50,28,2,3,43,38,2864,2685,849,663
Sterling,887,463,424,431,397,11,8,10,10,3,2,0,1,5,9,267,277,197,152
Stonewall,1039,504,535,465,496,19,20,7,8,2,3,0,0,6,13,420,463,91,79
Sutton,2822,1462,1360,1399,1305,18,12,28,25,5,7,0,1,7,15,542,561,920,802
Swisher,5433,2963,2470,2496,2209,340,139,46,49,13,29,5,6,48,53,1718,1468,1221,1015
Tarrant,1518535,730448,788087,544030,568891,120876,145659,6738,6794,43745,50442,1909,2018,12921,14512,532171,590108,198026,198141
Taylor,99440,47676,51764,41023,44921,3938,3691,507,558,996,1528,99,94,1064,1021,36906,40359,10675,11416
Terrell,646,349,297,322,278,11,2,8,13,6,1,0,0,1,4,176,151,192,158
Terry,8740,4716,4024,4200,3743,296,147,125,69,28,37,2,5,49,39,2197,1941,2466,2086
Throckmorton,1224,590,634,563,605,3,3,8,18,1,4,0,0,5,14,519,550,72,86
Titus,22483,10932,11551,9266,9779,1059,1216,281,280,155,145,24,23,110,145,6543,7412,4340,4145
Tom,87560,43126,44434,39019,40703,2076,1684,525,565,622,709,96,81,753,727,26972,27696,16097,16750
Travis,997737,502716,495021,403420,394786,43551,44283,5749,5598,39086,39417,658,639,10120,10430,350474,348799,152043,146284
Trinity,11535,5429,6106,4815,5390,435,527,50,84,33,39,4,10,67,81,4864,5623,511,495
Tyler,17234,9449,7785,7787,6975,1406,604,89,64,44,48,9,3,99,106,8247,7520,1163,270
Upshur,31456,15308,16148,13530,14295,1218,1341,192,200,63,104,13,4,233,263,14032,15044,1208,1116
Upton,2589,1328,1261,1187,1162,42,57,58,38,5,3,0,1,26,10,643,620,666,646
Uvalde,18807,9143,9664,8669,9296,172,96,131,101,73,103,6,10,72,78,2791,2958,6302,6713
Val,33878,17431,16447,16254,15650,495,285,213,186,173,165,47,35,215,160,3973,2954,13391,13504
Van,42960,20707,22253,19382,20950,654,615,239,222,116,176,21,58,257,270,18435,20258,2200,2014
Victoria,66603,32074,34529,28792,31106,2125,2192,338,285,404,600,52,29,329,351,17806,19386,14216,15152
Walker,58852,35253,23599,24992,18050,9257,4643,291,246,340,337,25,34,320,317,29027,20059,6172,3544
Waller,39352,19608,19744,14300,14266,4387,4644,331,297,298,316,27,20,226,240,13985,14596,5560,5161
Ward,8491,4381,4110,3877,3741,233,206,92,84,28,31,4,6,119,70,1995,1958,2330,2159
Washington,26743,12806,13937,10323,11175,2031,2290,115,84,191,293,16,6,110,109,10913,12227,1821,1720
Webb,179693,86932,92761,84379,90694,858,535,577,573,679,618,63,58,348,311,5518,4433,81363,88338
Wharton,29846,14484,15362,12266,12872,1853,2148,157,119,74,97,10,17,109,124,8788,9642,5664,5743
Wheeler,3647,1787,1860,1622,1726,74,57,35,44,10,25,0,0,22,32,1385,1511,363,363
Wichita,97138,49822,47316,41203,39950,5923,4604,666,658,983,1214,78,70,936,853,40681,39593,9074,7738
Wilbarger,9687,4707,4980,3947,4323,402,366,69,78,177,150,2,3,84,86,3361,3694,1305,1289
Willacy,15600,8838,6762,8206,6539,390,101,66,54,107,32,6,3,43,53,1271,752,7539,6015
Williamson,448762,218716,230046,177653,186889,16087,17156,2013,1829,18044,19322,362,320,4429,4658,168683,178172,49825,51904
Wilson,38461,19238,19223,18237,18284,459,359,202,193,94,168,29,25,181,230,11965,11790,7213,7443
Winkler,5723,3043,2680,2733,2507,143,67,82,78,35,33,2,1,21,21,1179,1137,1805,1551
Wise,52479,26215,26264,24819,25053,531,332,308,336,175,205,21,17,341,341,21514,21938,4657,4343
Wood,36343,17896,18447,16390,17006,968,888,195,215,116,126,10,12,192,225,16204,17031,1643,1426
Yoakum,5738,2973,2765,2768,2615,59,48,86,51,16,25,3,0,33,34,994,1058,1959,1713
Young,13489,6676,6813,6246,6467,154,104,106,120,64,70,6,3,66,83,5430,5857,1187,961
Zapata,9145,4383,4762,4280,4685,32,31,27,28,13,14,0,1,23,11,311,299,4055,4467
Zavala,8149,4151,3998,3932,3884,75,39,63,49,18,7,6,7,44,25,289,260,3820,3742
