CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Anderson,45659,29131,16528,19924,13650,8336,2358,223,133,276,181,33,35,299,211,23619,14390,5451,2151
Andrews,12877,6621,6256,6228,5947,149,119,111,93,45,46,3,1,66,69,2976,3056,3620,3209
Angelina,62574,30151,32423,24711,26293,4469,5175,242,260,360,394,43,16,304,307,23897,26540,6198,5896
Aransas,19126,9346,9780,8573,9163,207,134,157,135,200,239,9,7,168,134,6891,7506,2364,2284
Archer,6466,3130,3336,2962,3193,38,27,56,54,9,25,2,2,55,43,2876,3156,255,186
Armstrong,1452,705,747,682,722,12,3,6,14,0,1,0,0,4,8,650,683,68,76
Atascosa,36623,18069,18554,17128,17732,296,235,262,252,110,118,26,22,195,247,6669,7232,11324,11327
Austin,22355,11034,11321,9627,10002,1023,1028,107,94,93,93,4,5,155,124,8247,8732,2743,2600
Bailey,4717,2434,2283,2193,2136,77,29,96,81,22,16,1,8,32,26,967,955,1432,1335
Bandera,19329,9601,9728,9167,9288,117,97,138,140,48,73,12,1,88,160,7802,7977,1745,1766
Bastrop,65645,33470,32175,29216,28370,2575,2288,692,583,339,358,61,51,550,562,21477,21838,11949,10366
Baylor,2620,1236,1384,1138,1302,52,52,14,7,3,7,1,2,18,24,1069,1210,157,180
Bee,24945,15919,9026,13110,8500,2433,208,129,127,84,87,17,10,111,129,8006,3244,7862,5800
Bell,258833,127205,131628,87147,87838,30340,31662,1527,1360,3414,5479,987,1127,3723,4229,96951,101637,30135,30014
Bexar,1459943,712488,747455,602959,632800,62364,62619,9149,8998,23761,27988,1622,1678,12578,13427,302181,308915,410256,438624
Blanco,9883,4866,5017,4519,4783,135,41,91,55,29,76,3,6,73,72,3901,4208,923,813
Borden,526,263,263,250,254,4,0,0,5,0,1,0,0,7,5,227,230,48,42
Bosque,14638,7132,7506,6682,7169,201,137,85,57,49,64,4,8,93,89,5955,6354,1120,1159
Bowie,69072,34346,34726,24662,24728,8273,8556,421,384,368,554,43,23,553,507,31168,33090,3128,1645
Brazoria,272304,136531,135773,102651,100762,21855,21254,1188,1160,8886,10684,133,126,1740,1865,95980,97858,40437,37941
Brazos,170112,85549,84563,68406,67748,8703,9571,633,565,6333,5172,143,99,1288,1451,65403,65051,20066,19526
Brewster,7440,3869,3571,3538,3339,82,37,79,72,51,55,5,6,87,89,2182,2060,1630,1517
Briscoe,1296,651,645,611,611,24,20,2,6,0,1,0,0,8,13,491,497,147,169
Brooks,5025,2539,2486,2449,2408,34,27,22,24,27,18,1,2,4,9,266,212,2267,2279
Brown,28833,14090,14743,12897,13883,668,416,149,141,138,122,18,14,198,189,11057,11777,2980,2975
Burleson,14240,6963,7277,5900,6185,838,910,105,76,43,37,2,4,52,88,5602,6014,1307,1269
Burnet,37848,18337,19511,17241,18524,431,335,238,230,143,206,18,9,245,228,14706,16038,3578,3480
Caldwell,32634,16395,16239,14483,14521,1184,1053,289,259,190,177,20,18,204,236,8206,8254,8144,7993
Calhoun,15690,8074,7616,7102,6883,253,236,91,49,493,397,4,8,96,78,4433,4180,3592,3441
Callahan,10747,5288,5459,4921,5186,110,72,75,97,46,56,2,3,87,92,4664,5007,541,460
Cameron,285267,136383,148884,131969,144853,1297,910,1047,1072,1303,1306,128,118,601,663,17396,16882,118942,132031
Camp,9533,4574,4959,3603,3930,689,887,68,34,93,44,6,17,92,70,3530,3975,1017,991
Carson,4439,2241,2198,2079,2090,49,23,53,37,9,25,2,1,37,34,2021,2011,199,195
Cass,22846,10857,11989,8777,9607,1743,2103,94,103,65,61,9,4,127,153,10353,11590,442,404
Castro,5178,2656,2522,2461,2366,81,60,52,57,16,29,0,0,30,26,1003,958,1627,1570
Chambers,31754,15882,15872,13824,13959,1388,1329,217,172,230,246,20,19,183,167,12141,12671,3705,3220
Cherokee,38070,19195,18875,15453,15665,2982,2554,339,299,103,141,11,6,275,242,15178,15499,3954,3385
Childress,5811,3654,2157,2942,1992,613,85,38,25,23,28,0,1,28,36,2359,1678,1279,482
Clay,8299,4184,4115,3946,3924,64,41,58,70,18,29,1,0,75,73,3904,3842,252,283
Cochran,2097,1088,1009,968,904,62,50,29,44,5,5,3,4,11,12,465,467,615,545
Coke,2621,1305,1316,1218,1254,20,4,40,36,2,3,1,0,23,20,1030,1089,279,241
Coleman,6313,3227,3086,2960,2861,117,87,55,54,15,43,3,0,61,57,2708,2620,491,470
Collin,770703,374540,396163,262580,274196,38494,46074,2598,2516,63186,65463,376,461,7036,7723,320832,342463,53181,53746
Collingsworth,2166,1073,1093,954,973,67,79,30,28,4,5,0,0,13,13,763,778,302,321
Colorado,16316,8242,8074,6944,6902,1001,978,103,78,54,50,4,8,102,92,5879,6124,2301,1965
Comal,124574,61139,63435,56928,59077,1976,1657,529,537,667,1178,88,101,875,961,45156,47428,15843,16026
Comanche,10486,5189,5297,4913,5076,79,45,81,98,23,48,6,1,53,63,3775,4104,1364,1195
Concho,2260,1199,1061,1093,1013,37,7,7,20,50,5,1,0,7,20,740,761,459,309
Cooke,31236,15303,15933,14163,14760,508,524,238,215,143,215,11,9,197,253,12767,13692,2471,2250
Coryell,58061,28572,29489,21354,21791,5123,5400,334,363,557,868,307,253,840,871,23327,24443,5143,5056
Cottle,1080,524,556,433,488,68,69,2,4,0,1,1,0,6,8,386,455,131,110
Crane,3347,1724,1623,1545,1501,79,55,38,25,18,26,1,2,27,30,603,657,1102,971
Crockett,2597,1327,1270,1195,1203,28,18,48,30,24,12,2,1,20,16,447,504,850,776
Crosby,4132,2049,2083,1848,1945,90,88,36,26,7,8,3,1,51,29,963,1034,1055,1056
Culberson,1672,839,833,723,772,40,8,24,26,21,18,1,0,24,15,267,224,547,617
Dallam,4814,2555,2259,2273,2114,101,62,73,55,25,25,6,3,47,30,1378,1297,1133,977
Dallas,1899075,924881,974194,629004,627272,202420,250981,10272,9943,68725,70352,899,1070,13395,14742,576923,640095,347917,334431
Dawson,9247,5154,4093,4437,3764,461,189,94,54,67,43,9,5,70,54,2364,1861,2764,2236
Deaf,12225,6053,6172,5603,5819,181,143,125,108,40,46,9,3,78,70,1756,1937,4251,4241
Delta,4004,2037,1967,1748,1724,154,133,50,58,19,18,0,1,35,64,1833,1847,164,127
Denton,673011,326951,346060,251024,260476,34002,40530,2704,2919,32469,35179,450,402,6113,6743,267925,286909,58674,59205
DeWitt,15285,8067,7218,6954,6539,880,511,103,70,29,53,7,0,71,68,5304,4972,2725,2259
Dickens,1811,1032,779,845,721,85,17,33,24,20,13,0,2,29,22,683,610,323,174
Dimmit,6939,3331,3608,3139,3452,70,67,34,37,42,30,0,2,33,33,484,452,2811,3159
Donley,2466,1202,1264,1071,1148,78,77,22,21,9,11,1,1,15,12,1031,1172,152,96
Duval,8033,4140,3893,3920,3798,100,21,45,42,18,30,6,2,37,14,564,373,3562,3521
Eastland,13868,6870,6998,6475,6689,140,101,116,80,38,67,9,5,65,83,5696,6049,1132,965
Ector,114544,58987,55557,52850,50247,3422,2845,1033,811,789,920,149,181,696,601,23295,23023,35624,32568
Edwards,1525,799,726,768,670,6,14,16,27,3,7,0,0,8,6,360,390,454,346
El,594241,290368,303873,263733,282409,14728,9743,3346,3122,4084,4844,720,602,3713,3197,61736,48017,228551,255882
Ellis,135949,66129,69820,55679,58267,8322,9182,554,631,477,768,81,98,920,970,49445,53967,16517,15868
Erath,31228,15298,15930,14260,15147,333,270,235,223,172,135,11,21,240,181,12144,13245,3108,2689
Falls,13411,6231,7180,4609,5135,1373,1829,76,86,45,47,9,16,91,95,4771,5749,1417,1435
Fannin,27616,14793,12823,12775,11822,1401,511,201,180,108,119,20,5,263,211,12954,11779,1792,1053
Fayette,20014,9825,10189,9002,9356,553,592,117,115,39,53,4,12,79,92,8033,8427,1743,1770
Fisher,2975,1498,1477,1354,1363,76,54,23,26,6,11,1,0,29,32,1081,1079,402,404
Floyd,4082,2066,2016,1856,1857,79,94,49,28,17,10,0,1,50,41,924,974,1119,1045
Foard,907,439,468,400,438,23,20,3,4,2,6,0,0,9,2,354,392,83,77
Fort,588281,283571,304710,158165,161657,57881,68961,1698,1689,60951,67317,281,322,4473,4886,215735,234463,67616,70293
Franklin,8061,3987,4074,3617,3753,163,186,63,48,47,49,2,2,71,60,3370,3633,583,446
Freestone,14827,7833,6994,6113,5715,1378,1067,119,80,66,68,3,2,128,88,6601,6198,1189,806
Frio,15062,9308,5754,7975,5494,631,118,117,55,456,55,0,3,111,47,2203,1149,7076,4608
