CTYNAME,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Anderson,5,3388,2193,1195,1523,929,585,203,20,14,32,12,0,6,32,32,1559,878,628,319
Anderson,6,4446,3193,1253,1991,994,1087,183,7,17,47,34,2,4,53,27,2289,1016,897,237
Anderson,7,4716,3496,1220,2149,955,1251,233,11,11,38,11,10,1,35,11,2562,1007,932,213
Anderson,8,4719,3417,1302,2082,1047,1219,202,32,7,42,22,3,4,39,20,2637,1090,779,212
Anderson,9,4681,3382,1299,2128,1066,1156,192,19,8,32,17,9,8,33,13,2688,1054,689,246
Anderson,10,4485,3120,1365,1975,1132,1046,191,30,9,34,15,4,2,30,17,2585,1088,534,283
Anderson,11,3657,2390,1267,1619,1010,724,205,13,12,22,23,1,5,5,18,2023,1125,357,142
Anderson,12,3456,2060,1396,1516,1177,504,183,16,11,8,16,2,4,12,7,1817,1244,241,152
Anderson,13,3232,1707,1525,1327,1261,320,219,27,23,6,6,0,0,23,20,1553,1409,147,117
Anderson,14,2875,1447,1428,1227,1201,172,199,23,7,9,12,2,0,9,14,1327,1350,112,78
Anderson,15,2369,1129,1240,974,1143,125,80,10,2,5,5,0,0,11,14,1061,1173,62,69
Anderson,16,1773,809,964,736,816,61,137,3,5,0,1,0,0,9,5,765,928,42,36
Anderson,17,1022,436,586,383,530,42,47,6,3,1,4,0,1,1,4,410,567,23,20
Anderson,18,840,352,488,294,389,44,84,6,4,0,3,0,0,7,9,343,461,8,27
Andrews,5,1205,635,570,597,531,9,20,19,9,2,3,1,0,6,8,207,191,425,379
Andrews,6,1461,795,666,752,648,20,10,12,4,4,4,0,0,5,2,282,285,508,381
Andrews,7,1531,818,713,768,678,26,15,12,6,1,4,0,0,9,12,319,321,494,392
Andrews,8,1566,801,765,741,725,29,11,14,16,4,8,0,0,12,6,337,324,462,442
Andrews,9,1160,630,530,594,497,4,20,8,13,8,0,0,0,10,6,260,228,362,302
Andrews,10,1112,577,535,539,522,13,9,10,1,4,2,0,0,6,6,261,241,311,294
Andrews,11,987,497,490,466,458,9,8,7,13,6,7,1,0,4,8,238,202,255,293
Andrews,12,1105,581,524,554,507,12,1,6,4,6,4,0,1,3,7,289,304,291,220
Andrews,13,887,443,444,422,426,8,7,6,6,1,2,1,0,4,4,250,261,195,183
Andrews,14,599,310,289,290,264,9,6,3,9,8,6,0,0,0,4,198,187,112,102
Andrews,15,516,231,285,211,270,5,4,11,5,0,4,0,0,5,1,127,186,107,99
Andrews,16,338,169,169,166,155,3,6,1,2,0,1,0,0,1,3,118,126,52,43
Andrews,17,215,59,156,56,155,1,0,1,1,1,0,0,0,0,0,30,114,30,42
Andrews,18,195,75,120,72,111,1,2,1,4,0,1,0,0,1,2,60,86,16,37
Angelina,5,5441,2739,2702,2152,2036,458,529,18,31,34,46,1,0,74,62,1846,1876,890,827
Angelina,6,5691,2748,2943,2137,2265,517,558,35,34,23,36,2,1,31,52,1952,2190,794,753
Angelina,7,5480,2723,2757,2168,2140,464,530,26,16,30,40,7,3,27,29,2000,2104,719,653
Angelina,8,5170,2432,2738,2003,2205,361,436,9,22,28,41,3,3,25,34,1801,2093,627,645
Angelina,9,4913,2401,2512,1921,2026,412,408,15,20,27,33,7,2,19,23,1839,1896,561,616
Angelina,10,5162,2542,2620,2071,2076,382,490,22,19,35,28,9,1,20,9,1910,2075,623,545
Angelina,11,5194,2547,2647,2077,2128,422,440,12,29,21,32,4,1,11,17,2038,2126,504,524
Angelina,12,5568,2938,2630,2353,2208,491,367,37,18,40,23,0,0,16,15,2426,2221,508,413
Angelina,13,5212,2521,2691,2124,2177,341,453,18,20,13,23,1,1,22,19,2168,2400,350,291
Angelina,14,4443,2110,2333,1823,1975,232,316,18,18,25,15,1,0,9,11,1835,2099,275,236
Angelina,15,4006,1714,2292,1501,1916,152,292,5,18,27,43,8,4,17,23,1569,2119,137,174
Angelina,16,2666,1246,1420,1080,1271,130,129,17,3,12,12,0,0,7,5,1132,1317,110,103
Angelina,17,1844,805,1039,696,910,75,109,1,9,16,8,0,0,16,4,746,994,53,45
Angelina,18,1784,685,1099,605,960,32,118,9,3,29,14,0,0,10,4,635,1030,47,71
Aransas,5,1106,578,528,501,481,12,5,21,11,10,19,1,1,28,16,303,291,265,237
Aransas,6,1177,603,574,563,537,5,18,5,7,26,7,0,0,3,6,347,367,246,207
Aransas,7,1127,575,552,507,500,20,17,5,8,17,27,0,0,20,6,338,370,226,183
Aransas,8,1265,640,625,577,578,21,11,16,10,14,13,4,1,7,13,398,409,234,216
Aransas,9,1054,553,501,478,478,26,3,5,11,10,7,1,1,32,2,322,317,221,185
Aransas,10,1276,598,678,566,614,8,9,5,12,9,32,0,0,8,13,427,448,166,235
Aransas,11,1377,691,686,615,646,29,9,16,14,15,13,1,1,12,6,487,538,195,150
Aransas,12,1759,787,972,711,922,15,12,29,15,22,14,1,0,8,10,587,742,192,230
Aransas,13,2141,1047,1094,966,1036,24,8,16,6,25,36,0,0,14,10,822,914,220,180
Aransas,14,1850,830,1020,770,939,21,21,11,14,19,24,1,1,4,25,707,880,117,140
Aransas,15,1844,936,908,880,857,9,11,12,6,14,28,0,0,16,11,808,791,124,117
Aransas,16,1584,761,823,739,787,4,5,6,11,5,12,0,1,7,7,685,735,75,88
Aransas,17,890,407,483,380,465,9,4,5,6,12,2,0,0,1,6,356,413,47,71
Aransas,18,676,340,336,320,323,4,1,5,4,2,5,0,1,8,3,304,291,36,45
Archer,5,489,247,242,225,226,8,1,8,5,1,3,0,0,4,8,224,220,24,22
Archer,6,454,250,204,229,193,1,1,10,5,0,0,0,1,11,3,200,186,52,19
Archer,7,459,210,249,198,243,2,1,2,3,0,0,0,0,9,1,170,228,42,21
Archer,8,486,265,221,245,207,5,3,3,6,1,2,1,0,9,4,241,209,24,12
Archer,9,419,209,210,204,190,1,8,1,7,2,2,0,1,1,2,203,204,8,9
Archer,10,502,226,276,214,269,2,0,1,4,0,9,0,0,3,0,200,249,20,27
Archer,11,594,299,295,279,281,9,3,8,4,2,1,0,0,3,4,279,285,21,10
Archer,12,729,347,382,340,378,3,1,0,1,1,1,1,0,1,2,331,351,13,33
Archer,13,678,319,359,295,342,3,5,16,6,0,2,0,0,5,4,289,349,32,10
Archer,14,514,234,280,224,260,0,3,1,8,1,0,0,0,6,11,227,276,4,4
Archer,15,431,192,239,183,235,2,0,3,1,1,4,0,0,2,0,190,239,4,0
Archer,16,352,161,191,158,185,1,0,1,1,0,1,0,0,1,4,157,183,4,8
Archer,17,205,96,109,95,105,1,1,1,2,0,0,0,0,0,0,94,103,4,6
Archer,18,154,75,79,73,79,0,0,1,1,0,0,0,0,0,0,71,74,3,5
Armstrong,5,84,37,47,31,49,4,0,0,0,0,0,0,0,0,0,31,37,2,12
Armstrong,6,88,48,40,45,37,3,1,1,1,0,0,0,0,0,0,44,37,5,3
Armstrong,7,66,31,35,31,32,0,1,0,1,0,1,0,0,0,0,29,31,2,9
Armstrong,8,123,58,65,55,62,2,0,0,2,0,0,0,0,1,1,54,63,8,2
Armstrong,9,142,69,73,66,72,1,0,1,0,0,0,0,0,0,2,68,67,2,6
Armstrong,10,103,47,56,47,54,0,1,0,0,0,0,0,0,1,0,39,45,10,11
Armstrong,11,94,56,38,56,36,0,0,0,1,0,0,0,0,0,1,47,33,12,9
Armstrong,12,113,43,70,41,70,0,0,1,0,0,0,0,0,1,0,38,67,5,3
Armstrong,13,139,71,68,69,66,0,0,2,1,0,0,0,0,0,1,66,61,4,8
Armstrong,14,137,83,54,81,53,0,0,1,1,0,0,0,0,1,0,80,53,9,2
Armstrong,15,154,74,80,72,73,2,0,0,5,0,0,0,0,0,2,69,73,5,7
Armstrong,16,81,38,43,38,43,0,0,0,0,0,0,0,0,0,0,35,40,4,2
Armstrong,17,80,38,42,38,40,0,0,0,2,0,0,0,0,0,0,38,40,0,2
Armstrong,18,48,12,36,12,35,0,0,0,0,0,0,0,0,0,1,12,36,0,0
Atascosa,5,3185,1641,1544,1558,1456,20,38,20,16,7,4,5,3,27,31,445,426,1188,1118
Atascosa,6,3392,1659,1733,1553,1611,41,43,23,34,9,14,5,1,13,45,496,591,1140,1142
Atascosa,7,3470,1784,1686,1686,1637,40,9,14,13,17,10,0,2,23,19,584,582,1191,1106
Atascosa,8,3526,1762,1764,1683,1681,29,23,24,40,13,6,4,2,8,13,567,586,1192,1178
